Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
40	D5	210831_Cstr	1	0	0	0.099	0.099	0.131	0.047404166666666664		0.099	6.169914600888454e-07	0.01165676091668611	0.011263591122613385	0.10405530655585093	0.0989900431180959	0.39166666666666666	0.48898085925452595	0.40314370209738476	1.4175343828727374	0.24583333333333332	0.39166666666666666	0.0	0.0	0.1765051517750985	0.175	0.175	0.3958333333333333	FALSE
41	D6	210831_Cstr	1	0	0	0.101	0.101	0.135	0.04755		0.101	7.921123917365277e-07	0.005179017220359074	0.005021416109268491	0.08338699605265054	0.08009224126455916	0.09583333333333334	1.6765256458115654	0.375443008484797	0.41344263494663663	0.0	0.09583333333333334	0.0	0.0	0.0	0.0	0.0	0.1	FALSE
41	D6	210831_Cstr	1	0	0	0.101	0.101	0.135	0.04755		0.101	7.921123917365277e-07	0.007065190630377046	0.006856675191503498	0.09370666372878045	0.08957253617103911	0.2625	0.6388861831266093	0.5973395182082896	1.084930616542357	0.20833333333333334	0.2625	0.0	0.0	0.12067225584526206	0.1	0.1	0.26666666666666666	FALSE
41	D6	210831_Cstr	1	0	0	0.101	0.101	0.135	0.04755		0.101	7.921123917365277e-07	0.00558766375388293	0.005422748097200594	0.0950773102923601	0.09082496378291083	0.39166666666666666	0.8670140206109208	0.863950544191757	0.7994647884373722	0.38333333333333336	0.39166666666666666	0.0	0.0	0.28690443430367	0.26666666666666666	0.26666666666666666	0.3958333333333333	FALSE
42	D7	210831_Cstr	1	0	0	0.103	0.103	1.265	0.34175		0.103	6.206584063385705e-06	0.008219622413136361	0.007225496767219614	0.4429318295641884	0.3666770365165283	0.041666666666666664	11.469058630227968	10.713168044314045	0.06043627492958136	0.03333333333333333	0.041666666666666664	0.0	0.0	0.00949898366382457	0.0	0.0	0.04583333333333333	FALSE
42	D7	210831_Cstr	1	0	0	0.103	0.103	1.265	0.34175		0.103	6.206584063385705e-06	0.03131333436230236	0.022178644786625883	1.5033948432600193	0.9176477480151288	0.09583333333333334	24.285714202666092	17.625367185665997	0.02854135459124572	0.07916666666666666	0.09583333333333334	0.0	0.0	0.05591252222290259	0.04583333333333333	0.04583333333333333	0.1	FALSE
42	D7	210831_Cstr	1	0	0	0.103	0.103	1.265	0.34175		0.103	6.206584063385705e-06	0.46519364021520165	0.26960808662336766	2.0211321781997627	1.1056316545754195	0.32083333333333336	17.13059725506473	-0.8695924374644732	0.040462522715313594	0.1125	0.3375	0.04917732628587146	0.016411718981359513	0.10020375749093094	0.1	0.1	0.3958333333333333	FALSE
51	E4	210831_Cstr	1	0	0	0.098	0.098	0.113	0.04342916666666667		0.098	1.5919109730132842e-07	0.01716929549864871	0.016410146517140897	0.10977682991810056	0.10415894098231487	0.2	1.993984459721435	0.0014789602303550177	0.34761914877550243	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.20416666666666666	FALSE
51	E4	210831_Cstr	1	0	0	0.098	0.098	0.113	0.04342916666666667		0.098	1.5919109730132842e-07	0.0029838244619879452	0.002948058234936819	0.03535967114908778	0.03474887470689492	0.39166666666666666	0.2979495165734907	0.24195741806694349	2.3263913582789018	0.2833333333333333	0.39166666666666666	0.0	0.0	0.24347737452582915	0.20416666666666666	0.20416666666666666	0.3958333333333333	FALSE
53	E6	210831_Cstr	1	0	0	0.097	0.097	0.132	0.047625		0.097	6.764492823621878e-07	0.03467897217624002	0.031713068436754324	0.2535314935282613	0.22596476277467836	0.2125	2.217330002068452	0.41180828647832457	0.31260442961279467	0.0	0.2125	0.0	0.0	0.0	0.0	0.0	0.21666666666666667	FALSE
53	E6	210831_Cstr	1	0	0	0.097	0.097	0.132	0.047625		0.097	6.764492823621878e-07	0.006836135674536849	0.006665976244160497	0.07428210776417155	0.07165263176638526	0.39166666666666666	0.45005508588072246	0.2717586142079355	1.540138534827377	0.3	0.39166666666666666	0.0	0.0	0.2203668872291693	0.21666666666666667	0.21666666666666667	0.3958333333333333	FALSE
91	H8	210831_Cstr	1	0	0	0.092	0.092	1.183	0.27282083333333335		0.092	1.9355700799937097e-05	0.00723790004173439	0.0064699444498713555	0.4056958147907641	0.3405324220379007	0.04583333333333333	12.643531589210331	12.643531589210331	0.05482227617095998	0.04583333333333333	0.04583333333333333	0.0	0.0	0.018900002275062996	0.0	0.0	0.05	FALSE
91	H8	210831_Cstr	1	0	0	0.092	0.092	1.183	0.27282083333333335		0.092	1.9355700799937097e-05	0.05652264013421251	0.0365601293088971	1.9148876887723656	1.0698312903371747	0.1125	24.539390097804528	6.031015598046619	0.028246308396310114	0.08333333333333333	0.1125	0.0	0.0	0.05908523732584661	0.05	0.05	0.11666666666666667	FALSE
91	H8	210831_Cstr	1	0	0	0.092	0.092	1.183	0.27282083333333335		0.092	1.9355700799937097e-05	0.32816170659956795	0.2023092008126048	1.912565327004769	1.0690342485131552	0.39166666666666666	8.688166389862932	0.3218326239788921	0.07978060610909647	0.1875	0.39166666666666666	0.0	0.0	0.13347049156604585	0.11666666666666667	0.11666666666666667	0.3958333333333333	FALSE
