Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
31	C8	210831_Cstr	1	0	0	0.099	0.099	1.175	0.32760833333333333		0.099	0.28810246335222545	0.7832011963502592	1.0365722270522957	2.4394291253062264	0.17264225310417824	0.1649727820765463	33.64791116364905	-9.232499732574349	0.020600006258598754	0.02325450409376966	0.0	0.10833333333333334	0.07083333333333333	0.125	0.0	0.00021079077985283076	FALSE
32	C9	210831_Cstr	1	0	0	0.101	0.101	1.135	0.3249416666666667		0.101	0.28470621528474693	0.7733138530750968	0.9929105264902005	2.3818703998052495	0.13520072313122722	0.13199958476599072	33.17434390885519	-7.7331958350714105	0.020894073518509713	0.02360175486314968	0.0	0.10833333333333334	0.07083333333333333	0.125	0.0	0.00019272856676283445	FALSE
33	C10	210831_Cstr	1	0	0	0.087	0.086	0.087	0.03477083333333333		0.087	0.00011556806194028778	-0.0003348369513058933	0.00042394549839573636	0.0007188211081576183	6.255991852718856e-05	0.0007188211094941162	0.7038083157085521	-0.09274232105995213	0.9848522176981188	0.03920588236182	0.016666666666666666	0.05	0.029166666666666667	0.05416666666666667	0.0	6.445765192058367e-09	TRUE
34	C11	210831_Cstr	1	0	0	0.086	0.086	0.086	0.03439999999999999		0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	FALSE
35	C12	210831_Cstr	1	0	0	0.087	0.086	0.087	0.03472083333333333		0.087	2.8301200800254163e-05	-0.0008815229071469258	0.00020421505005809026	-0.0006672661077714837	0.0	0.0	0.009301430161144306	0.008545070248020493	74.52049507993844	0.46546920226390975	0.0	0.3958333333333333	0.32083333333333336	0.3958333333333333	0.0	1.5114314420682166e-07	TRUE
36	D1	210831_Cstr	1	0	0	0.1	0.1	1.195	0.3360416666666667		0.1	0.29598270299478135	0.75320491040852	1.0935571348759856	2.47963890573661	0.04060266465015183	0.0346062080170344	20.491277009516384	-0.9428089654767963	0.0338264511400651	0.0306638870667537	0.0	0.2791666666666667	0.09583333333333334	0.3958333333333333	0.0	6.669799293815584e-06	FALSE
37	D2	210831_Cstr	1	0	0	0.1	0.1	1.108	0.3139333333333334		0.1	0.27389177417970767	0.7263609500914312	1.0064019528685133	2.40378853035383	0.028965955491953577	0.026526700330430142	23.096452630402627	-0.8755362253410696	0.030010980112484143	0.04424962432750276	0.0	0.2833333333333333	0.10833333333333334	0.3958333333333333	0.0	3.603889311708002e-06	FALSE
38	D3	210831_Cstr	1	0	0	0.099	0.099	1.008	0.2882625		0.099	0.2485159190730747	0.7030410600972019	0.9072712514370254	2.3192383036975244	0.027170447822867927	0.027362600474212684	20.874131444669874	-0.47913808429345206	0.033206036974388106	0.03691140476819111	0.0	0.2833333333333333	0.09583333333333334	0.32083333333333336	0.0	1.1844297873137015e-05	FALSE
39	D4	210831_Cstr	1	0	0	0.1	0.1	0.113	0.044004166666666664		0.1	0.003381812113709212	0.03809373482235855	0.011349192374432784	0.12136150584342964	0.0	0.0	2.9591166310242913	0.2101782916778448	0.23424125068027954	-0.00521153546933025	0.0	0.3958333333333333	0.0	0.3958333333333333	1.0	3.222965702852764e-07	FALSE
40	D5	210831_Cstr	1	0	0	0.099	0.099	0.131	0.047404166666666664		0.099	0.007085336825959906	0.0710600665497147	0.02960390918379789	0.27547179247655507	0.0	0.0	1.8229483150431494	0.4019083439124202	0.38023413765493314	-0.009852341153830999	0.0	0.3958333333333333	0.0	0.3958333333333333	1.0	6.169914600888454e-07	FALSE
