lab_mapping,short,OD,strain,time,sample
17-24-1,CGXII+Tween+CasA,0.674,1116,24,1
17-24-1,CGXII+Tween+Trace,0.752,1116,24,1
17-24-1,CGXII+Tween+Vit,0.283,1116,24,1
17-24-1,CGXII+Tween+Vit+Trace,0.296,1116,24,1
17-24-1,CGXII+Tween+Vit+Trace+nac,0.272,1116,24,1
17-24-1,CGXII+Tween+Vit+nac,0.278,1116,24,1
17-24-1,CGXII+Tween+nac,0.324,1116,24,1
17-24-1,CGXII+Tween+nac+CasA,1.151,1116,24,1
17-24-1,CGXII+nac,0.217,1116,24,1
17-24-2,CGXII,0.206,1116,24,2
17-24-2,CGXII+CasA,0.57,1116,24,2
17-24-2,CGXII+Tween,0.209,1116,24,2
17-24-2,CGXII+Tween+CasA,0.201,1116,24,2
17-24-2,CGXII+Tween+Trace,0.8,1116,24,2
17-24-2,CGXII+Tween+Vit,0.291,1116,24,2
17-24-2,CGXII+Tween+Vit+Trace,0.276,1116,24,2
17-24-2,CGXII+Tween+Vit+Trace+nac,0.269,1116,24,2
17-24-2,CGXII+Tween+Vit+nac,0.268,1116,24,2
17-24-2,CGXII+Tween+nac,0.33,1116,24,2
17-24-2,CGXII+Tween+nac+CasA,1.125,1116,24,2
17-24-2,CGXII+nac,0.122,1116,24,2
17-24-3,CGXII,0.167,1116,24,3
17-24-3,CGXII+CasA,0.71,1116,24,3
17-24-3,CGXII+Tween,0.227,1116,24,3
17-24-3,CGXII+Tween+CasA,0.642,1116,24,3
17-24-3,CGXII+Tween+Trace,0.822,1116,24,3
17-24-3,CGXII+Tween+Vit,0.265,1116,24,3
17-24-3,CGXII+Tween+Vit+Trace,0.216,1116,24,3
17-24-3,CGXII+Tween+Vit+Trace+nac,0.237,1116,24,3
17-24-3,CGXII+Tween+Vit+nac,0.24,1116,24,3
17-24-3,CGXII+Tween+nac,0.335,1116,24,3
17-24-3,CGXII+Tween+nac+CasA,1.169,1116,24,3
17-24-3,CGXII+nac,0.153,1116,24,3
