Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
106	A11	220628_Cstr	1	0	0	0.087	0.086	0.087	0.0344125		0.087	-0.00042546640613601186	-0.004479234750426264	0.0	0.0010914473118573778	0.0	0.0	0.06279965239927593	-0.7850981740307948	11.03743657931357	0.236776248521007	0.03333333333333333	0.0	0.04583333333333333	0.0	0.0	4.521810756120642e-09	FALSE
107	A12	220628_Cstr	1	0	0	0.079	0.079	0.732	0.034695833333333335		0.079	3.6975351690906e-07	0.007907786801113627	1.2680879724058514e-06	0.01977373252432927	9.005703395514875e-08	1.117643168044996e-06	0.00010066258631732544	-2.6840561372111913e-05	6885.847124719116	-196.2794287554594	0.0	0.3125	0.0	0.3958333333333333	0.0	0.0044207657519596075	TRUE
108	B1	220628_Cstr	1	0	0	0.069	0.069	0.069	0.0276		0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	FALSE
109	B2	220628_Cstr	1	0	0	0.073	0.07	0.085	0.030191666666666665		0.073	0.0019106342687904732	0.012883713871921958	0.010291983855171952	0.10338196758372435	0.00633251325684428	0.08145596801111156	1.948639203781449	-1.3202819866362239	0.3557083215891646	0.026277974221924856	0.0	0.1	0.04583333333333333	0.15	0.0	3.820547040658189e-06	FALSE
110	B3	220628_Cstr	1	0	0	0.084	0.081	0.122	0.037475		0.084	0.0032998850128913896	0.04070173404941861	0.0329449352992332	0.34195319564664395	0.0	0.0	1.639229819288452	1.5975273169554856	0.4228492993501197	0.18691646985374774	0.0	0.3958333333333333	0.35833333333333334	0.3958333333333333	0.0	2.3066806713813283e-05	FALSE
111	B4	220628_Cstr	1	0	0	0.085	0.083	0.099	0.03486666666666667		0.085	0.0013480740101139673	0.009617100914957839	0.009213892517213482	0.08946105342161315	0.0	0.0	0.6273147113103132	0.07206463113778738	1.1049432893294076	0.22713705220131672	0.0	0.3958333333333333	0.3125	0.3958333333333333	0.0	5.604804527142673e-06	TRUE
112	B5	220628_Cstr	1	0	0	0.07	0.07	0.071	0.028079166666666665		0.07	-9.568768444309903e-05	0.0010770323828506758	0.0	0.006096953509931669	0.0	0.0	0.00448434408587203	-0.0274123322497025	154.57047168697696	0.19957708171962482	0.0	0.0	0.3958333333333333	0.1375	0.0	1.3448837089607089e-07	TRUE
113	B6	220628_Cstr	1	0	0	0.072	0.07	0.073	0.028470833333333327		0.072	-9.744373856187677e-05	-0.004592832462022414	0.0007409777380478211	0.0022849049559696705	0.00025189194668451265	0.0034966207059749944	0.31858114915271823	-0.09225590419697301	2.1757319364419496	0.31219830451592023	0.05	0.3458333333333333	0.2791666666666667	0.37916666666666665	0.0	1.7974644137765574e-07	TRUE
114	B7	220628_Cstr	1	0	0	0.079	0.075	0.08	0.031041666666666665		0.079	0.00020993580924547804	-0.007163430342123002	0.0017366117453539581	-0.002308640782308149	0.0003084190058927072	0.003920737538870067	0.6190208266834836	-0.19802409345066047	1.1197477543261463	0.13736523313730944	0.0375	0.24166666666666667	0.07916666666666666	0.275	0.0	3.7244354923580055e-07	TRUE
115	B8	220628_Cstr	1	0	0	0.07	0.07	0.071	0.028104166666666666		0.07	0.00010139906163989491	0.0014578177400564457	0.0010007791384822329	0.014237065243713386	0.0010144667024827164	0.014390563552821745	0.2353086083634656	-0.18903720402109847	2.9456941052036942	0.1692488715894037	0.0	0.24583333333333332	0.2	0.2875	0.0	6.234720246857537e-08	FALSE
116	B9	220628_Cstr	1	0	0	0.083	0.08	0.086	0.03307500000000001		0.083	0.0005941197449478584	-0.0015029844905909211	0.0028822480643979215	0.013039238916072846	0.0	0.0	0.38473948457490725	0.014833977503265794	1.8016013649490459	0.09172080925454185	0.0	0.3958333333333333	0.058333333333333334	0.3958333333333333	0.0	7.784128222255203e-07	FALSE
117	B10	220628_Cstr	1	0	0	0.073	0.072	0.073	0.02880833333333333		0.073	-1.900575346443223e-08	-0.005401169696956835	0.0	-0.013502264512154201	0.0	0.0	-3.1638590932764026e-06	-3.4187928358163917e-06	-219082.8226304294	-4267.672665612361	0.0	0.0	0.3958333333333333	0.0	0.0	2.0398767526271792e-08	FALSE
118	B11	220628_Cstr	1	0	0	0.077	0.074	0.077	0.029983333333333334		0.077	-0.0003372513624052833	-0.010771599059499372	0.0002689088362996528	-0.01214913723357429	7.34083904213173e-05	0.0009654747341858901	0.257174952929015	-0.03797292239656874	2.6952359577227827	0.34776468319256065	0.0625	0.3333333333333333	0.25833333333333336	0.3541666666666667	0.0	1.2894828610125816e-07	TRUE
119	B12	220628_Cstr	1	0	0	0.071	0.071	0.072	0.028566666666666664		0.071	0.00015293310869448333	0.0023186045906163208	0.001069581587783433	0.015395246754740435	0.00015205748415994536	0.0021111628438938625	0.6734633438893214	-0.670293051818707	1.0292277773530296	0.03340804293387069	0.0	0.0625	0.04583333333333333	0.07916666666666666	0.0	1.853491378690274e-08	FALSE
120	C1	220628_Cstr	1	0	0	0.073	0.071	0.112	0.0395		0.073	0.010531150360259475	0.11870904723059421	0.03823986851154487	0.41568924896227405	0.007076326952881323	0.06610415340301506	15.564244637312438	-2.5002434751354103	0.04453458530831952	0.022283191985753986	0.0	0.1375	0.029166666666666667	0.30833333333333335	1.0	2.1112358561367203e-06	FALSE
121	C2	220628_Cstr	1	0	0	0.076	0.073	0.097	0.036025		0.076	0.006622487130575984	0.06692896149549651	0.021425096874944538	0.22214907075970036	0.0013770753894084276	0.014616251992170093	3.3294221541133635	-0.9934908127382992	0.20818843284970354	0.025726639523801335	0.0	0.36666666666666664	0.05	0.3958333333333333	0.0	2.914882305342836e-06	FALSE
122	C3	220628_Cstr	1	0	0	0.082	0.08	0.165	0.054283333333333336		0.082	0.02143721469578838	0.19438814510260527	0.08082612978196954	0.6863649169688029	0.0	0.0	12.445745855333834	0.7428336396332491	0.05569350271304836	0.04082820729759663	0.0	0.3958333333333333	0.058333333333333334	0.3958333333333333	1.0	7.857482853949532e-06	FALSE
123	C4	220628_Cstr	1	0	0	0.073	0.072	0.09	0.0326		0.073	0.003898113402392607	0.04335568067964797	0.01675263691817397	0.19227543149478887	0.005747426095692301	0.06716602749078562	2.502832377934541	-1.721589293873028	0.27694510693998775	0.029132457006719487	0.0	0.12916666666666668	0.06666666666666667	0.175	0.0	3.016549944194011e-06	FALSE
124	C5	220628_Cstr	1	0	0	0.079	0.077	0.101	0.03528333333333333		0.079	0.004273223059796114	0.04312682666473154	0.021301626096699278	0.22343185567434862	0.0054502551631456925	0.056757191604114826	3.885863539894844	-3.4082546770311324	0.1783766139607421	0.0427887701704686	0.0	0.1125	0.075	0.15	1.0	4.338682958168707e-06	FALSE
